ID,Category,Language,Collection,Genre,Pubdate,Author_Last,Author_First,Work.Title,Translation,PubHouse_Imprint,Prize_Prizewinner.,WinnerShortlist..PrizeWinner.,Author_Gender,Author_Nationality
"2016_RomanoLax,Andromeda_Behave_CT.txt",Fiction,English,,CT,2016,Romano-Lax,Andromeda,Behave,,Soho Press,,,F,
"2009_Flynn,Gillian_DarkPlaces_MY.txt",Fiction ,English,,MY,2009,Flynn,Gillian,DarkPlaces,,,,,F,US
"2009_Griffiths,Elly_TheCrossingPlaces_MY.txt",Fiction ,English,,MY,2009,Griffiths,Elly,TheCrossingPlaces,,,,,F,UK
"2010_Atkinson,Kate_StartedEarlyTookMyDog_MY.txt",Fiction ,English,,MY,2010,Atkinson,Kate,StartedEarlyTookMyDog,,,,,F,UK
"2010_George,Elizabeth_ThisBodyofDeath_MY.txt",Fiction ,English,,MY,2010,George,Elizabeth,ThisBodyofDeath,,,,,F,US
"2010_Gerritsen,Tess_IceCold_MY.txt",Fiction ,English,,MY,2010,Gerritsen,Tess,IceCold,,,,,F,US
"2010_Goodman,Carol_ArcadiaFalls_MY.txt",Fiction ,English,,MY,2010,Goodman,Carol,ArcadiaFalls,,,,,F,US
"2010_King,LaurieR_TheGodoftheHive_MY.txt",Fiction ,English,,MY,2010,King,LaurieR,TheGodoftheHive,,,,,F,US
"2010_Laurie,Victoria_AGlimpseofEvil_MY.txt",Fiction ,English,,MY,2010,Laurie,Victoria,AGlimpseofEvil,,,,,F,US
"2010_McKinlay,Jenn_SprinklewithMurder_MY.txt",Fiction ,English,,MY,2010,McKinlay,Jenn,SprinklewithMurder,,,,,F,US
"2010_Webber,Heather_TrulyMadly_MY.txt",Fiction ,English ,,MY,2010,Webber,Heather,TrulyMadly,,,,,F,US
"2011_Bolton,Sharon_NowYouSeeMe_MY.txt",Fiction ,English ,,MY,2011,Bolton,Sharon,NowYouSeeMe,,,,,F,UK
"2011_McKinlay,Jenn_BooksCanbeDeceiving_MY.txt",Fiction ,English ,,MY,2011,McKinlay,Jenn,BooksCanbeDeceiving,,,,,F,US
"2011_OConnell,Carol_TheChalkGirl_MY.txt",Fiction ,English ,,MY,2011,OConnell,Carol,TheChalkGirl,,,,,F,US
"2011_Slaughter,Karin_Fallen_MY.txt",Fiction ,English ,,MY,2011,Slaughter,Karin,Fallen,,,,,F,US
"2011_SpencerFleming,Julia_OneWasASoldier_MY.txt",Fiction ,English ,,MY,2011,SpencerFleming,Julia,OneWasASoldier,,,,,F,US
"2011_Stevens,Chevy_NeverKnowing_MY.txt",Fiction ,English ,,MY,2011,Stevens,Chevy,NeverKnowing,,,,,F,Canada
"2012_Elliot,Kendra_Hidden_MY.txt",Fiction ,English ,,MY,2012,Elliot,Kendra,Hidden,,,,,F,US
"2012_McPherson,Catriona_DandyGilver_MY.txt",Fiction ,English ,,MY,2012,McPherson,Catriona,DandyGilver,,,,,F,Scotland
"2012_Morton,Kate_TheSecretKeeper_MY.txt",Fiction ,English ,,MY,2012,Morton,Kate,TheSecretKeeper,,,,,F,Australia
"2012_Scottoline,Lisa_ComeHome_MY.txt",Fiction ,English ,,MY,2012,Scottoline,Lisa,ComeHome,,,,,F,US
"2012_Shapiro,BA_TheArtForger_MY.txt",Fiction ,English ,,MY,2012,Shapiro,BA,TheArtForger,,,,,F,US
"2012_Swank,DeniseGrover_TwentyNineandaHalfReasons_MY.txt",Fiction ,English ,,MY,2012,Swank,DeniseGrover,TwentyNineandaHalfReasons,,,,,F,US
"2012_Unger,Lisa_Heartbroken_MY.txt",Fiction ,English ,,MY,2012,Unger,Lisa,Heartbroken,,,,,F,US
"2013_Busby,Sian_ACommonplaceKilling_MY.txt",Fiction ,English ,,MY,2013,Busby,Sian,ACommonplaceKilling,,,,,F,UK
"2013_Cornwell,Patricia_Dust_MY.txt",Fiction ,English ,,MY,2013,Cornwell,Patricia,Dust,,,,,F,US
"2013_Coulter,Catherine_Bombshell_MY.txt",Fiction ,English ,,MY,2013,Coulter,Catherine,Bombshell,,,,,F,US
"2013_Fairstein,Linda_DeathAngel_MY.txt",Fiction ,English ,,MY,2013,Fairstein,Linda,DeathAngel,,,,,F,US
"2013_O'Connell,Carol_ItHappensintheDark_MY.txt",Fiction ,English ,,MY,2013,O'Connell,Carol,ItHappensintheDark,,,,,F,US
"2013_Quick,Amanda_TheMysteryWoman_MY.txt",Fiction ,English ,,MY,2013,Quick,Amanda,TheMysteryWoman,,,,,F,US
"2013_Raimondo,Lynne_DantesWood_MY.txt",Fiction ,English ,,MY,2013,Raimondo,Lynne,DantesWood,,,,,F,US
"2013_Reichs,Kathy_BonesoftheLost_MY.txt",Fiction ,English ,,MY,2013,Reichs,Kathy,BonesoftheLost,,,,,F,US
"2013_SpencerFleming,Julia_ThroughtheEvilDays_MY.txt",Fiction ,English ,,MY,2013,SpencerFleming,Julia,ThroughtheEvilDays,,,,,F,US
"2013_Swank,DeniseGrover_TwentyEightandAHalfWishes_MY.txt",Fiction ,English ,,MY,2013,Swank,DeniseGrover,TwentyEightandAHalfWishes,,,,,F,US
"2014_Brown,Sandra_MeanStreak_MY.txt",Fiction ,English ,,MY,2014,Brown,Sandra,MeanStreak,,,,,F,US
"2014_Casey,Jane_TheStrangerYouKnow_MY.txt",Fiction ,English ,,MY,2014,Casey,Jane,TheStrangerYouKnow,,,,,F,US
"2014_Cornwell,Patricia_FleshandBlood_MY.txt",Fiction ,English ,,MY,2014,Cornwell,Patricia,FleshandBlood,,,,,F,US
"2014_Donoghue,Emma_FrogMusic_MY.txt",Fiction ,English ,,MY,2014,Donoghue,Emma,FrogMusic,,,,,F,Ireland/Canada
"2014_Dougherty,Victoria_TheBoneChurch_MY.txt",Fiction ,English ,,MY,2014,Dougherty,Victoria,TheBoneChurch,,,,,F,US
"2014_Evanovich,Janet_TopSecretTwentyOne_MY.txt",Fiction ,English ,,MY,2014,Evanovich,Janet,TopSecretTwentyOne,,,,,F,US
"2014_Fairstein,Linda_TerminalCity_MY.txt",Fiction ,English ,,MY,2014,Fairstein,Linda,TerminalCity,,,,,F,US
"2014_French,Tana_TheSecretPlace_MY.txt",Fiction ,English ,,MY,2014,French,Tana,TheSecretPlace,,,,,F,Ireland/US
"2014_Gerritsen,Tess_DieAgain_MY.txt",Fiction ,English ,,MY,2014,Gerritsen,Tess,DieAgain,,,,,F,US
"2014_Healey,Emma_ElizabethisMissing_MY.txt",Fiction ,English ,,MY,2014,Healey,Emma,ElizabethisMissing,,,,,F,UK
"2014_Hinton,Lynne_SisterEvePrivateEye_MY.txt",Fiction ,English ,,MY,2014,Hinton,Lynne,SisterEvePrivateEye,,,,,F,US
"2014_Jones,Darynda_SixthGraveontheEdge_MY.txt",Fiction ,English ,,MY,2014,Jones,Darynda,SixthGraveontheEdge,,,,,F,US
"2014_Kubica,Mary_TheGoodGirl_MY.txt",Fiction ,English ,,MY,2014,Kubica,Mary,TheGoodGirl,,,,,F,US
"2014_McPherson,Catriona_TheDaySheDied_MY.txt",Fiction ,English ,,MY,2014,McPherson,Catriona,TheDaySheDied,,,,,F,Scotland
"2014_Nolen,RL_DeadlyThyme_MY.txt",Fiction ,English ,,MY,2014,Nolen,RL,DeadlyThyme,,,,,F,US
"2014_Penny,Louise_TheLongWayHome_MY.txt",Fiction ,English ,,MY,2014,Penny,Louise,TheLongWayHome,,,,,F,Canada
"2014_Picoult,Jodi_LeavingTime_MY.txt",Fiction ,English ,,MY,2014,Picoult,Jodi,LeavingTime,,,,,F,US
"2014_Raimondo,Lynne_DantesPoison_MY.txt",Fiction ,English ,,MY,2014,Raimondo,Lynne,DantesPoison,,,,,F,US
"2014_Reade,Amy_SecretsofHallsteadHouse_MY.txt",Fiction ,English ,,MY,2014,Reade,Amy,SecretsofHallsteadHouse,,,,,F,US
"2014_Reichs,Kathy_BonesNeverLie_MY.txt",Fiction ,English ,,MY,2014,Reichs,Kathy,BonesNeverLie,,,,,F,US
"2014_Robb,JD_FestiveinDeath_MY.txt",Fiction ,English ,,MY,2014,Robb,JD,FestiveinDeath,,,,,F,US
"2014_Sherratt,Mel_WatchingOverYou_MY.txt",Fiction ,English ,,MY,2014,Sherratt,Mel,WatchingOverYou,,,,,F,UK
"2014_Slaughter,Karin_CopTown_MY.txt",Fiction ,English ,,MY,2014,Slaughter,Karin,CopTown,,,,,F,US
"2014_Stevens,Chevy_ThatNight_MY.txt",Fiction ,English ,,MY,2014,Stevens,Chevy,ThatNight,,,,,F,Canada
"2014_Turner,Stevie_AHouseWithoutWindows_MY.txt",Fiction ,English ,,MY,2014,Turner,Stevie,AHouseWithoutWindows,,,,,F,UK
"2014_Unger,Lisa_IntheBlood_MY.txt",Fiction ,English ,,MY,2014,Unger,Lisa,IntheBlood,,,,,F,US
"2014_Weaver,Ashley_MurderattheBrightwell_MY.txt",Fiction ,English ,,MY,2014,Weaver,Ashley,MurderattheBrightwell,,,,,F,US
"2015_Ahlborn,Ania_WithinTheseWalls_MY.txt",Fiction ,English ,,MY,2015,Ahlborn,Ania,WithinTheseWalls,,,,,F,Poland
"2015_Arlen,Tessa_DeathofaDishonorableGentlemen_MY.txt",Fiction ,English ,,MY,2015,Arlen,Tessa,DeathofaDishonorableGentlemen,,,,,F,UK
"2015_Bolton,Sharon_LittleBlackLies_MY.txt",Fiction ,English ,,MY,2015,Bolton,Sharon,LittleBlackLies,,,,,F,UK
"2015_Elliot,Kendra_Spiraled_MY.txt",Fiction ,English ,,MY,2015,Elliot,Kendra,Spiraled,,,,,F,US
"2015_Gardner,Lisa_Crash&Burn_MY.txt",Fiction ,English ,,MY,2015,Gardner,Lisa,Crash&Burn,,,,,F,US
"2015_Griffiths,Elly_TheGhostFields_MY.txt",Fiction ,English ,,MY,2015,Griffiths,Elly,TheGhostFields,,,,,F,UK
"2015_Hinton,Lynne_TheCaseoftheSinCitySister_MY.txt",Fiction ,English ,,MY,2015,Hinton,Lynne,TheCaseoftheSinCitySister,,,,,F,US
"2015_Jaff,Sophie_LoveisRed_MY.txt",Fiction ,English ,,MY,2015,Jaff,Sophie,LoveisRed,,,,,F,South Africa/US
"2015_Jones,Darynda_EighthGraveAfterDark_MY.txt",Fiction ,English ,,MY,2015,Jones,Darynda,EighthGraveAfterDark,,,,,F,US
"2015_King,LaurieR_DreamingSpies_MY.txt",Fiction ,English ,,MY,2015,King,LaurieR,DreamingSpies,,,,,F,US
"2015_Knight,Renee_Disclaimer_MY.txt",Fiction ,English ,,MY,2015,Knight,Renee,Disclaimer,,,,,F,UK
"2015_Knoll,Jessica_LuckiestGirlAlive_MY.txt",Fiction ,English ,,MY,2015,Knoll,Jessica,LuckiestGirlAlive,,,,,F,US
"2015_Marsons,Angela_EvilGames_MY.txt",Fiction ,English ,,MY,2015,Marsons,Angela,EvilGames,,,,,F,UK
"2015_Marsons,Angela_SilentScream_MY.txt",Fiction ,English ,,MY,2015,Marsons,Angela,SilentScream,,,,,F,UK
"2015_McCreight,Kimberly_WhereTheyFoundHer_MY.txt",Fiction ,English ,,MY,2015,McCreight,Kimberly,WhereTheyFoundHer,,,,,F,US
"2015_Price,Richard_TheWhites_MY.txt",Fiction ,English ,,MY,2015,Price,Richard,TheWhites,,,,,F,US
"2015_Pulley,DM_TheDeadKey_MY.txt",Fiction ,English ,,MY,2015,Pulley,DM,TheDeadKey,,,,,F,US
"2015_Quick,Amanda_GardenofLies_MY.txt",Fiction ,English ,,MY,2015,Quick,Amanda,GardenofLies,,,,,F,US
"2015_Robb,JD_ObsessioninDeath_MY.txt",Fiction ,English ,,MY,2015,Robb,JD,ObsessioninDeath,,,,,F,US
"2015_Salvalaggio,Karin_BurntRiver_MY.txt",Fiction ,English ,,MY,2015,Salvalaggio,Karin,BurntRiver,,,,,F,US
"2015_Scottoline,Lisa_EveryFifteenMinutes_MY.txt",Fiction ,English ,,MY,2015,Scottoline,Lisa,EveryFifteenMinutes,,,,,F,US
"2015_Sherratt,Mel_FollowtheLeader_MY.txt",Fiction ,English ,,MY,2015,Sherratt,Mel,FollowtheLeader,,,,,F,UK
"2015_Swyler,Erika_TheBookofSpeculation_MY.txt",Fiction ,English ,,MY,2015,Swyler,Erika,TheBookofSpeculation,,,,,F,US
"2015_Tyson,Wendy_DyingBrand_MY.txt",Fiction ,English ,,MY,2015,Tyson,Wendy,DyingBrand,,,,,F,US
"2015_White,Karen_TheSoundofGlass_MY.txt",Fiction ,English ,,MY,2015,White,Karen,TheSoundofGlass,,,,,F,US
"2015_Winspear,Jacqueline_ADangerousPlace_MY.txt",Fiction ,English ,,MY,2015,Winspear,Jacqueline,ADangerousPlace,,,,,F,UK
"2016_Armstrong,Kelley_CityoftheLost_MY.txt",Fiction,English,,MY,2016,Armstrong,Kelley,City of the Lost,,,,,F,
"2016_Banner,AJ_TheTwilightWife_MY.txt",Fiction,English,,MY,2016,Banner,AJ,The Twilight Wife,,,,,F,
"2016_Barton,Fiona_TheWidow_MY.txt",Fiction,English,,MY,2016,Barton,Fiona,The Widow,,,,,F,
"2016_Black,Lisa_ThatDarkness_MY.txt",Fiction,English,,MY,2016,Black,Lisa,That Darkness (A Gardiner and Renner Novel),,,,,F,
"2016_Breen,Susan_MaggieDovesDetectiveAgency_MY.txt",Fiction,English,,MY,2016,Breen,Susan,Maggie Dove's Detective Agency,,,,,F,
"2016_Croft,Kathryn_WhileYouWereSleeping_MY.txt",Fiction,English,,MY,2016,Croft,Kathryn,While You Were Sleeping,,,,,F,
"2016_Dolamore,Jaclyn_TheSorcerersConcubine_MY.txt",Fiction,English,,MY,2016,Dolamore,Jaclyn,The Sorcerer's Concubine,,,,,F,
"2016_Golden,Alison_Stolen_MY.txt",Fiction,English,,MY,2016,Golden,Alison,Stolen,,,,,F,
"2016_Grace,Celina_MurderatMerishamLodge_MY.txt",Fiction,English,,MY,2016,Grace,Celina,Murder at Merisham Lodge,,,,,F,
"2016_Jensen,Louise_TheGift_MY.txt",Fiction,English,,MY,2016,Jensen,Louise,The GIft,,,,,F,
"2016_Lapena,Shari_TheCoupleNextDoor_MY.txt",Fiction,English,,MY,2016,Lapena,Shari,The Couple Next Door,,,,,F,
"2016_Mackintosh,Clare_ILetYouGo_MY.txt",Fiction,English,,MY,2016,Mackintosh,Clare,I Let You Go,,,,,F,
"2016_Mackintosh,Clare_ISeeYou_MY.txt",Fiction,English,,MY,2016,Mackintosh,Clare,I See You,,,,,F,
"2016_Macmillan,Gilly_ThePerfectGirl_MY.txt",Fiction,English,,MY,2016,Macmillan,Gilly,The Perfect Girl,,,,,F,
"2016_Marsons,Angela_BloodLines_MY.txt",Fiction,English,,MY,2016,Marsons,Angela,Blood Lines,,,,,F,
"2016_Paris,BA_BehindClosedDoors_MY.txt",Fiction,English,,MY,2016,Paris,BA,Behind Closed Doors,,,,,F,
"2016_Perini,Robin_ForgottenSecrets_MY.txt",Fiction,English,,MY,2016,Perini,Robin,Forgotten Secrets,,,,,F,
"2016_Roberts,Nora_BayofSighs_MY.txt",Fiction,English,,MY,2016,Roberts,Nora,Bay of Sighs,,,,,F,
"2016_Roberts,Nora_IslandofGlass_MY.txt",Fiction,English,,MY,2016,Roberts,Nora,Island of Glass,,,,,F,
"2016_Slater,KL_SafeWithMe_MY.txt",Fiction,English,,MY,2016,Slater,KL,Safe With Me,,,,,F,
"2016_Ware,Ruth_InADarkDarkWood_MY.txt",Fiction,English,,MY,2016,Ware,Ruth,"In a Dark, Dark Wood",,,,,F,
"2016_Miranda,Megan_AllTheMissingGirls_MY.txt",Fiction,English,,MY_CT,2016,Miranda,Megan,All The Missing Girls,,,,,F,
"2016_Ashby,Madeline_CompanyTown_MY.txt",Fiction,English,,MY_SF,2016,Ashby,Madeline,Company Town,,Tor Books,,,F,
"2012_George,Elizabeth_TheEdgeofNowhere_MY.txt",Fiction ,English ,,MY_YA,2012,George,Elizabeth,TheEdgeofNowhere,,,,,F,US
"2013_McCreight,Kimberly_ReconstructingAmelia_MY.txt",Fiction ,English ,,MY_YA,2013,McCreight,Kimberly,ReconstructingAmelia,,,,,F,US
"2014_Fitzpatrick,Becca_BlackIce_MY.txt",Fiction ,English ,,MY_YA,2014,Fitzpatrick,Becca,BlackIce,,,,,F,US
"2015_Ahdieh,Renee_TheWrathandtheDawn_MY.txt",Fiction ,English ,,MY_YA,2015,Ahdieh,Renee,TheWrathandtheDawn,,,,,F,US
"2015_Juba,Stacy_DarkBeforeDawn_MY.txt",Fiction ,English ,,MY_YA,2015,Juba,Stacy,DarkBeforeDawn,,,,,F,US
"2015_Latham,Jennifer_ScarlettUndercover_MY.txt",Fiction ,English ,,MY_YA,2015,Latham,Jennifer,ScarlettUndercover,,,,,F,US
"2015_Oliver,Lauren_VanishingGirls_MY.txt",Fiction ,English ,,MY_YA,2015,Oliver,Lauren,VanishingGirls,,,,,F,US
"2015_Ryan,Carrie_DaughterofDeepSilence_MY.txt",Fiction ,English ,,MY_YA,2015,Ryan,Carrie,DaughterofDeepSilence,,,,,F,US
"2015_Stokes,Paula_LiarsInc_MY.txt",Fiction ,English ,,MY_YA,2015,Stokes,Paula,LiarsInc,,,,,F,US
"2015_Summers,Courtney_AlltheRage_MY.txt",Fiction ,English ,,MY_YA,2015,Summers,Courtney,AlltheRage,,,,,F,Canada
"2010_Pineiro,Caridad_StrongerthanSin_ROM.txt",Fiction ,English,,ROM,2010,Pineiro,Caridad,StrongerthanSin,,,,,F,US/Cuba
"2010_Wilson,Norah_GuardingSuzannah_ROM.txt",Fiction ,English,,ROM,2010,Wilson,Norah,GuardingSuzannah,,,,,F,Canada
"2011_Brookes,Lindsey_CapturingtheCowboysHeart_ROM.txt",Fiction ,English,,ROM,2011,Brookes,Lindsey,CapturingtheCowboysHeart,,,,,F,US
"2011_Carew,Opal_InTooDeep_ROM.txt",Fiction ,English,,ROM,2011,Carew,Opal,InTooDeep,,,,,F,Canada
"2011_Fenech,Karen_Imposter_ROM.txt",Fiction ,English,,ROM,2011,Fenech,Karen,Imposter,,,,,F,US
"2012_Brogan,Tracy_CrazyLittleThing_ROM.txt",Fiction ,English,,ROM,2012,Brogan,Tracy,CrazyLittleThing,,,,,F,US
"2012_Elliot,Kendra_Chilled_ROM.txt",Fiction ,English,,ROM,2012,Elliot,Kendra,Chilled,,,,,F,US
"2012_Elliot,Kendra_Hidden_ROM.txt",Fiction ,English,,ROM,2012,Elliot,Kendra,Hidden,,,,,F,US
"2012_Jacobs,Mara_WorthTheDrive_ROM.txt",Fiction ,English,,ROM,2012,Jacobs,Mara,WorthTheDrive,,,,,F,US
"2012_Kelly,Leslie_BringingDownSam_ROM.txt",Fiction ,English,,ROM,2012,Kelly,Leslie,BringingDownSam,,,,,F,US
"2012_Morgan,KelliAnne_TheRancher_ROM.txt",Fiction ,English,,ROM,2012,Morgan,KelliAnne,TheRancher,,,,,F,US
"2012_Shawn,Melanie_SweetReunion_ROM.txt",Fiction ,English,,ROM,2012,Shawn,Melanie,SweetReunion,,,,,F,US
"2012_Sheehan,Madeline_Undeniable_ROM.txt",Fiction ,English,,ROM,2012,Sheehan,Madeline,Undeniable,,,,,F,US
"2013_Daniels,Elise_Awake_ROM.txt",Fiction ,English,,ROM,2013,Daniels,Elise,Awake,,,,,F,US
"2013_Dune,Lyla_LowTideBikini_ROM.txt",Fiction ,English,,ROM,2013,Dune,Lyla,LowTideBikini,,,,,F,US
"2013_Elliot,Kendra_Buried_ROM.txt",Fiction ,English,,ROM,2013,Elliot,Kendra,Buried,,,,,F,US
"2013_Gabriel,Julia_Cupcakes&Chardonnay_ROM.txt",Fiction ,English,,ROM,2013,Gabriel,Julia,Cupcakes&Chardonnay,,,,,F,US
"2013_Jaymes,River_TheBackupBoyfriend_ROM.txt",Fiction ,English,,ROM,2013,Jaymes,River,TheBackupBoyfriend,,,,,F,US
"2013_Layne,Kennedy_SinfulResurrection_ROM.txt",Fiction ,English,,ROM,2013,Layne,Kennedy,SinfulResurrection,,,,,F,US
"2013_Madden,JM_EmbattledHearts_ROM.txt",Fiction ,English,,ROM,2013,Madden,JM,EmbattledHearts,,,,,F,US
"2013_Marton,Dana_Deathtrap_ROM.txt",Fiction ,English,,ROM,2013,Marton,Dana,Deathtrap,,,,,F,US
"2013_McCarthy,Kate_FightingRedemption_ROM.txt",Fiction ,English,,ROM,2013,McCarthy,Kate,FightingRedemption,,,,,F,Australia
"2013_Meyer,Tijan_CarterReed_ROM.txt",Fiction ,English,,ROM,2013,Meyer,Tijan,CarterReed,,,,,F,US
"2013_Moore,Addison_BeautifulOblivion_ROM.txt",Fiction ,English,,ROM,2013,Moore,Addison,BeautifulOblivion,,,,,F,US
"2013_Mummert,Teresa_TheNote_ROM.txt",Fiction ,English,,ROM,2013,Mummert,Teresa,TheNote,,,,,F,US
"2013_Reynard,Sylvain_GabrielsRedemption_ROM.txt",Fiction ,English,,ROM,2013,Reynard,Sylvain,GabrielsRedemption,,,,,F,US
"2013_Sex,Nikki_WhatWendyWants_ROM.txt",Fiction ,English,,ROM,2013,Sex,Nikki,WhatWendyWants,,,,,F,US
"2014_Adams,Carina_ForeverRed_ROM.txt",Fiction ,English,,ROM,2014,Adams,Carina,ForeverRed,,,,,F,US
"2014_Adams,Evelyn_FeelsLikeHome_ROM.txt",Fiction ,English,,ROM,2014,Adams,Evelyn,FeelsLikeHome,,,,,F,US
"2014_Armentrout,JenniferL_TheReturn_ROM.txt",Fiction ,English,,ROM,2014,Armentrout,JenniferL,TheReturn,,,,,F,US
"2014_Ashley,Kristen_TheWill_ROM.txt",Fiction ,English,,ROM,2014,Ashley,Kristen,TheWill,,,,,F,US
"2014_Aurora,Belle_RAW_ROM.txt",Fiction ,English,,ROM,2014,Aurora,Belle,RAW,,,,,F,Australia
"2014_Blakely,Lauren_NightAfterNight_ROM.txt",Fiction ,English,,ROM,2014,Blakely,Lauren,NightAfterNight,,,,,F,US
"2014_Brant,Kylie_11_ROM.txt",Fiction ,English,,ROM,2014,Brant,Kylie,11,,,,,F,US
"2014_Brogan,Tracy_TheBestMedicine_ROM.txt",Fiction ,English,,ROM,2014,Brogan,Tracy,TheBestMedicine,,,,,F,US
"2014_Bromberg,K_Crashed_ROM.txt",Fiction ,English,,ROM,2014,Bromberg,K,Crashed,,,,,F,US
"2014_Charles,Ann_TheGreatJackalopeStampede_ROM.txt",Fiction ,English,,ROM,2014,Charles,Ann,TheGreatJackalopeStampede,,,,,F,US
"2014_Chase,Emma_Tamed_ROM.txt",Fiction ,English,,ROM,2014,Chase,Emma,Tamed,,,,,F,US
"2014_Connor,Claudia_WorththeFall_ROM.txt",Fiction ,English,,ROM,2014,Connor,Claudia,WorththeFall,,,,,F,US
"2014_Dare,Tessa_RomancingtheDuke_ROM.txt",Fiction ,English,,ROM,2014,Dare,Tessa,RomancingtheDuke,,,,,F,US
"2014_Elliot,Kendra_Alone_ROM.txt",Fiction ,English,,ROM,2014,Elliot,Kendra,Alone,,,,,F,US
